datetime,US_interest_rate,Gold_Price,Gold_Change,Silver_Price,Silver_Change,US_10_year_rate,10_year_rate_Change,DollarIndex,DollarIndex_Change,USD_KRW_Price,USD_KRW_Change
2021-04-26,1.1,1776.8,0.12,25.99,-0.02,1.5648,0.12,90.757,-0.09,1115.13,0.04
2021-04-25,1.1,1774.65,-0.13,25.995,-0.31,1.563,0.22,90.839,-0.53,1115.13,0.04
2021-04-23,1.1,1777,-0.24,26.075,-0.4,1.5595,1.16,90.839,-0.53,1114.72,-0.36
2021-04-22,1.1,1781.2,-0.62,26.18,-1.47,1.5416,-1.12,91.321,0.21,1118.79,0.22
2021-04-21,1.1,1792.3,0.84,26.57,2.83,1.559,-0.45,91.129,-0.11,1116.35,-0.08
2021-04-20,1.1,1777.3,0.45,25.84,0.01,1.566,-2.73,91.227,0.19,1117.28,0.17
2021-04-19,1.1,1769.4,-0.54,25.837,-0.58,1.61,2.02,91.05,-0.54,1115.33,-0.1
2021-04-16,1.1,1779,0.77,26.105,0.54,1.5904,1.03,91.544,-0.08,1116.5,-0.02
2021-04-15,1.1,1765.4,1.76,25.964,1.72,1.5742,-3.67,91.618,-0.06,1116.68,0.05
2021-04-14,1.1,1734.9,-0.65,25.524,0.39,1.6341,0.88,91.674,-0.19,1116.08,-0.47
2021-04-13,1.1,1746.2,0.87,25.426,2.25,1.6198,-2.97,91.844,-0.33,1121.37,-0.26
2021-04-12,1.1,1731.2,-0.69,24.867,-1.73,1.6693,-0.31,92.144,-0.02,1124.32,0.3
2021-04-09,1.1,1743.3,-0.77,25.325,-1.02,1.662,2.2,92.16,0.1,1120.98,0.46
2021-04-08,1.1,1756.8,0.96,25.585,1.34,1.6262,-3.16,92.069,-0.44,1115.83,-0.29
2021-04-07,1.1,1740.1,-0.08,25.247,0.08,1.6792,1.29,92.472,0.13,1119.03,-0.01
2021-04-06,1.1,1741.5,0.84,25.227,1.8,1.6578,-2.91,92.348,-0.27,1119.17,-0.45
2021-04-05,1.1,1727,0.03,24.78,-1.07,1.7074,0.12,92.595,-0.49,1124.18,-0.4
2021-04-01,1.1,1726.5,0.74,24.948,1.7,1.6735,-4.04,92.947,-0.31,1128.72,0.14
2021-03-31,1.1,1713.8,1.78,24.532,1.64,1.744,1.99,93.236,-0.09,1127.17,-0.48
2021-03-30,1.1,1683.9,-1.65,24.137,-2.56,1.71,-0.41,93.321,0.39,1132.59,0.09
2021-03-29,1.1,1712.2,-1.16,24.771,-1.24,1.717,2.67,92.956,0.2,1131.56,0.23
2021-03-26,1.1,1732.3,0.42,25.114,0.27,1.6742,2.51,92.775,-0.05,1128.52,-0.58
2021-03-25,1.1,1725.1,-0.47,25.047,-0.73,1.6332,1.21,92.826,0.32,1135.12,0.02
2021-03-24,1.1,1733.2,0.47,25.231,0.02,1.6137,-0.53,92.53,0.2,1134.9,0.18
2021-03-23,1.1,1725.1,-0.75,25.227,-2.1,1.6223,-4.27,92.347,0.66,1132.9,0.61
2021-03-22,1.1,1738.1,-0.21,25.769,-0.71,1.6946,-0.71,91.741,-0.2,1126,-0.28
2021-03-19,1.1,1741.7,0.53,26.321,-0.11,1.7299,1.38,91.925,0.06,1129.12,0.12
2021-03-18,1.1,1732.5,0.31,26.351,1.12,1.7064,3.66,91.87,0.48,1127.75,0.58
2021-03-17,1.1,1727.1,-0.22,26.058,0.21,1.6462,1.53,91.435,-0.48,1121.21,-0.69
2021-03-16,1.1,1730.9,0.1,26.003,-1.08,1.6214,0.88,91.88,0.03,1129,-0.3
2021-03-15,1.1,1729.2,0.55,26.288,0.88,1.6073,-1.81,91.852,0.19,1132.35,-0.37
2021-03-12,1.1,1719.8,-0.16,25.911,-1.08,1.6247,5.83,91.678,0.28,1136.5,0.54
2021-03-11,1.1,1722.6,0.05,26.193,0.24,1.5352,0.92,91.418,-0.45,1130.35,-0.49
2021-03-10,1.1,1721.8,0.29,26.13,-0.2,1.5212,-0.45,91.828,-0.15,1135.91,0.09
2021-03-09,1.1,1716.9,2.32,26.183,3.62,1.5281,-4.67,91.964,-0.4,1134.91,-0.52
2021-03-08,1.1,1678,-1.21,25.269,-0.87,1.6029,0.23,92.334,0.37,1140.83,1.14
2021-03-05,1.1,1698.5,-0.13,25.287,-0.68,1.5766,1.25,91.99,0.38,1128,-0.25
2021-03-04,1.1,1700.7,-0.88,25.461,-3.51,1.5571,4.91,91.644,0.77,1130.87,0.43
2021-03-03,1.1,1715.8,-1.03,26.387,-1.83,1.4842,6.15,90.942,0.17,1126.05,0.09
2021-03-02,1.1,1733.6,0.62,26.879,0.75,1.3982,-1.92,90.79,-0.27,1125.01,1.05
2021-03-01,1.1,1723,-0.34,26.678,-0.57,1.4255,2.21,91.036,0.17,1113.33,-0.94
2021-02-26,1.1,1728.8,-2.62,26.44,-4.5,1.4066,-8.08,90.882,0.83,1123.89,0.46
2021-02-25,1.1,1775.4,-1.25,27.685,-0.87,1.5303,11.52,90.135,-0.04,1118.77,1.04
2021-02-24,1.1,1797.9,-0.44,27.928,0.67,1.3722,2.16,90.17,0,1107.27,-0.26
2021-02-23,1.1,1805.9,-0.14,27.742,-1.38,1.3432,-1.86,90.167,0.19,1110.13,-0.13
2021-02-22,1.1,1808.4,1.74,28.131,2.38,1.3687,0.51,89.999,-0.4,1111.59,0.66
2021-02-19,1.1,1777.4,0.14,27.293,0.65,1.3397,3.27,90.363,-0.26,1104.27,-0.24
2021-02-18,1.1,1775,0.12,27.118,-0.87,1.2973,1.19,90.6,-0.38,1106.96,0.12
2021-02-17,1.1,1772.8,-1.46,27.357,-0.04,1.2821,-2.18,90.949,0.49,1105.61,-0.09
2021-02-16,1.1,1799,-1.09,27.368,-1.1,1.3107,4.85,90.503,0.04,1106.58,0.48
2021-02-15,1.1,1818.75,-0.13,27.672,0.59,1.2501,3.32,90.47,0,1101.31,-0.12
2021-02-14,1.1,1821.05,-0.12,27.51,0.52,1.2099,3.87,90.47,0.06,1102.59,0.04
2021-02-12,1.1,1823.2,-0.2,27.368,1.02,1.2099,3.87,90.47,0.06,1102.59,0.04
2021-02-11,1.1,1826.8,-0.86,27.091,-0.11,1.1648,3.61,90.413,0.06,1102.12,-0.3
2021-02-10,1.1,1842.7,0.28,27.12,-1.16,1.1242,-3.1,90.363,-0.07,1105.48,-0.49
2021-02-09,1.1,1837.5,0.18,27.439,-0.59,1.1602,-1.32,90.429,-0.54,1110.88,-0.42
2021-02-08,1.1,1834.2,1.17,27.602,0.95,1.1757,0.15,90.919,-0.12,1115.61,-0.1
2021-02-05,1.1,1813,1.22,27.058,3,1.1687,2.9,91.032,-0.53,1116.77,-0.29
2021-02-04,1.1,1791.2,-2.39,26.271,-2.4,1.1358,-0.29,91.52,0.41,1120,0.59
2021-02-03,1.1,1835.1,0.09,26.918,1.84,1.1391,4.07,91.148,-0.04,1113.46,-0.17
2021-02-02,1.1,1833.4,-1.64,26.431,-9.99,1.0946,1.44,91.189,0.24,1115.37,-0.1
2021-02-01,1.1,1863.9,0.74,29.364,1.89,1.0791,0.79,90.975,0.45,1116.51,-0.1
2021-01-29,1.1,1850.3,0.49,26.953,3.79,1.0706,1.8,90.569,0.16,1117.64,0.46
2021-01-28,1.1,1841.2,-0.42,25.968,2.07,1.0517,3.85,90.427,-0.23,1112.52,0.37
2021-01-27,1.1,1848.9,-0.32,25.442,-0.57,1.0127,-1.97,90.64,0.55,1108.38,0.67
2021-01-26,1.1,1854.8,-0.23,25.589,0.22,1.033,0.01,90.148,-0.25,1101.02,-0.14
2021-01-25,1.1,1859,0.15,25.534,-0.32,1.0329,-5.73,90.373,0.18,1102.58,-0.26
2021-01-22,1.1,1856.2,-0.52,25.603,-1.15,1.0855,-2.14,90.212,0.09,1105.41,0.5
2021-01-21,1.1,1865.9,-0.03,25.901,0.33,1.1092,3.01,90.127,-0.38,1099.88,0.32
2021-01-20,1.1,1866.5,1.43,25.817,1.75,1.0768,-1.39,90.469,-0.01,1096.35,-0.46
2021-01-19,1.1,1840.2,0.2,25.373,1.31,1.092,-0.77,90.476,-0.31,1101.44,-0.1
2021-01-18,1.1,1836.6,1.48,25.045,3.27,1.1005,1.25,90.754,0,1102.52,-0.07
2021-01-17,1.1,1809.75,-1.1,24.253,-2.67,1.0869,-3.75,90.754,0.6,1103.27,0.67
2021-01-15,1.1,1829.9,-1.16,24.919,-3.64,1.0869,-3.75,90.754,0.6,1103.27,0.67
2021-01-14,1.1,1851.4,-0.19,25.861,0.91,1.1292,3.44,90.215,-0.13,1095.88,-0.11
2021-01-13,1.1,1854.9,0.58,25.629,0.53,1.0917,-3.31,90.334,0.3,1097.12,0.24
2021-01-12,1.1,1844.2,-0.36,25.495,0.6,1.1291,-1.33,90.064,-0.42,1094.48,-0.25
2021-01-11,1.1,1850.8,0.84,25.343,0.84,1.1443,2.29,90.442,0.42,1097.23,0.39
2021-01-08,1.1,1835.4,-4.09,24.699,-9.63,1.1187,3.47,90.068,0.31,1092.93,-0.12
2021-01-07,1.1,1913.6,0.26,27.33,0.8,1.0812,4.07,89.791,0.32,1094.28,0.58
2021-01-06,1.1,1908.6,-2.34,27.112,-2.16,1.0389,8.8,89.502,0.1,1087.93,0.14
2021-01-05,1.1,1954.4,0.4,27.711,1.01,0.9549,4,89.409,-0.49,1086.42,-0.01
2021-01-04,1.1,1946.6,2.37,27.434,1.58,0.9182,-1.25,89.845,-0.05,1086.48,0.16
2021-01-01,1.1,1901.6,0.34,26.525,0.2,0.9165,-1.07,89.894,0.27,1084.73,0.02
2020-12-31,1,1895.1,0.09,26.473,-0.6,0.9165,-1.07,89.894,0.27,1084.47,-0.29
2020-12-30,1,1893.4,0.56,26.633,1.36,0.9264,-1.42,89.649,-0.3,1087.62,-0.31
2020-12-29,1,1882.9,0.13,26.276,-1.2,0.9397,1.8,89.918,-0.4,1090.97,-0.42
2020-12-28,1,1880.4,-0.15,26.596,1.14,0.9231,-1.59,90.275,0.03,1095.6,-0.32
2020-12-24,1,1883.2,0.27,25.964,-0.05,0.9264,-1.93,90.25,-0.1,1101.59,-0.46
2020-12-23,1,1878.1,0.42,25.976,1.52,0.9446,2.53,90.34,-0.23,1106.65,-0.28
2020-12-22,1,1870.3,-0.66,25.588,-3.19,0.9213,-1.77,90.546,0.66,1109.72,0.65
2020-12-21,1,1882.8,-0.32,26.431,1.6,0.9379,0,89.949,0,1102.55,0.29
2020-12-18,1,1888.9,-0.08,26.083,-0.58,0.9446,1.07,89.953,0.24,1099.39,0.58
2020-12-17,1,1890.4,1.68,26.234,4.5,0.9346,1.63,89.741,-0.68,1093.01,0.06
2020-12-16,1,1859.1,0.2,25.104,1.67,0.9196,0.91,90.359,-0.06,1092.36,0.27
2020-12-15,1,1855.3,1.27,24.691,2.48,0.9113,1.47,90.409,-0.35,1089.43,-0.33
2020-12-14,1,1832.1,-0.62,24.093,0.08,0.8981,-1.28,90.731,-0.26,1093.07,0.13
2020-12-11,1,1843.6,0.34,24.135,-0.02,0.8964,-1.09,90.97,0.17,1091.67,0.56
2020-12-10,1,1837.4,-0.06,24.139,0.4,0.9063,-3.35,90.82,-0.29,1085.55,-0.09
2020-12-09,1,1838.5,-1.94,24.042,-3.02,0.9377,1.79,91.083,0.13,1086.48,0.15
2020-12-08,1,1874.9,0.48,24.791,-0.26,0.9212,-0.71,90.968,0.2,1084.86,0.12
2020-12-07,1,1866,1.41,24.856,2.48,0.9278,-4.6,90.789,0.1,1083.53,-0.02
2020-12-04,1,1840,-0.06,24.316,0.49,0.9725,6.73,90.694,-0.03,1083.77,-0.76
2020-12-03,1,1841.1,0.6,24.197,0.23,0.9112,-2.82,90.718,-0.44,1092.08,-0.72
2020-12-02,1,1830.2,0.62,24.142,-0.05,0.9376,0.89,91.115,-0.2,1100.02,-0.52
2020-12-01,1,1818.9,2.13,24.155,6.59,0.9293,10.34,91.297,-0.61,1105.73,-0.32
2020-11-30,1,1780.9,-0.4,22.661,-0.33,0.8422,-0.19,91.858,0.06,1109.32,0.44
2020-11-27,1,1788.1,-1.05,22.711,-2.17,0.8422,-1.91,91.801,-0.18,1104.43,-0.1
2020-11-26,1,1807,-0.23,23.215,-1.29,0.8586,-2.61,91.966,0,1105.57,-0.06
2020-11-25,1,1811.2,0.02,23.519,0.13,0.8816,-0.36,91.966,-0.28,1106.21,-0.36
2020-11-24,1,1810.9,-1.46,23.489,-1.4,0.8848,3.05,92.22,-0.3,1110.24,-0.29
2020-11-23,1,1837.8,-1.85,23.823,-1.8,0.8586,4.16,92.494,0.11,1113.51,-0.13
2020-11-20,1,1872.4,0.59,24.561,1.34,0.8243,-2.14,92.395,0.12,1114.95,0.12
2020-11-19,1,1861.5,-0.66,24.237,-1.62,0.8423,-3.2,92.284,-0.03,1113.59,0.67
2020-11-18,1,1873.9,-0.59,24.636,-0.83,0.8701,0.95,92.311,-0.09,1106.17,0.07
2020-11-17,1,1885.1,-0.14,24.842,-0.63,0.8619,-5.4,92.398,-0.25,1105.38,-0.15
2020-11-16,1,1887.8,0.08,24.999,0.9,0.9111,1.1,92.63,-0.13,1107.04,-0.05
2020-11-13,1,1886.2,0.69,24.993,1.9,0.8979,1.66,92.75,-0.22,1107.62,-0.65
2020-11-12,1,1873.3,0.63,24.526,0.17,0.8832,-9.59,92.956,-0.07,1114.86,0.22
2020-11-11,1,1861.6,-0.79,24.484,-0.82,0.9769,1.81,93.024,0.31,1112.39,-0.42
2020-11-10,1,1876.4,1.19,24.687,3.21,0.9595,3.9,92.736,0.02,1117.07,-0.18
2020-11-09,1,1854.4,-4.99,23.919,-8.2,0.9235,11.22,92.715,0.53,1119.06,-0.21
2020-11-06,1,1951.7,0.25,25.9,1.92,0.8201,7.02,92.225,-0.31,1121.4,-0.13
2020-11-05,1,1946.8,2.67,25.412,5.35,0.7663,-0.65,92.516,-0.96,1122.88,-0.42
2020-11-04,1,1896.2,-0.74,24.122,-1.89,0.7713,-13.91,93.411,-0.16,1127.65,-0.32
2020-11-03,1,1910.4,0.95,24.586,1.2,0.8959,5.18,93.56,-0.62,1131.32,-0.14
2020-11-02,1,1892.5,0.67,24.295,3.35,0.8518,-0.78,94.145,0.11,1132.95,-0.31
2020-10-30,1,1879.9,0.64,23.9,1.2,0.8737,5.09,94.042,0.07,1136.49,0.57
2020-10-29,1,1868,-0.6,23.616,0.03,0.8314,7.37,93.977,0.61,1130.06,-0.43
2020-10-28,1,1879.2,-1.71,23.609,-4.89,0.7743,0.44,93.409,0.52,1134.93,0.51
2020-10-27,1,1911.9,0.33,24.822,0.6,0.7709,-3.96,92.927,-0.13,1129.21,-0.29
2020-10-26,1,1905.7,0.03,24.674,0.61,0.8027,-4.59,93.044,0.3,1132.44,0.4
2020-10-23,1,1905.2,0.03,24.936,-0.19,0.8413,-2.32,92.765,-0.21,1127.95,-0.6
2020-10-22,1,1904.6,-1.29,24.984,-2.07,0.8613,4.92,92.964,0.39,1134.74,0.19
2020-10-21,1,1929.5,0.74,25.512,1.01,0.8209,4.48,92.599,-0.49,1132.54,-0.51
2020-10-20,1,1915.4,0.19,25.256,1.11,0.7857,1.74,93.051,-0.4,1138.39,-0.15
2020-10-19,1,1911.7,0.28,24.978,2.67,0.7723,1.54,93.429,-0.27,1140.06,-0.18
2020-10-16,1,1906.4,-0.13,24.683,0.75,0.7489,1.35,93.679,-0.2,1142.13,-0.26
2020-10-15,1,1908.9,0.08,24.5,-0.81,0.7389,1.61,93.864,0.53,1145.14,-0.17
2020-10-14,1,1907.3,0.67,24.699,1.08,0.7272,-0.23,93.366,-0.18,1147.14,-0.1
2020-10-13,1,1894.6,-1.78,24.434,-4.46,0.7289,-4.56,93.536,0.46,1148.3,0.04
2020-10-12,1,1928.9,0.14,25.574,0.88,0.7637,-1.93,93.104,0.04,1147.79,0.37
2020-10-09,1,1926.2,1.64,25.398,5.25,0.7787,0.03,93.065,-0.62,1143.52,-0.66
2020-10-08,1,1895.1,0.23,24.131,-0.2,0.7785,-0.64,93.648,-0.03,1151.11,-0.53
2020-10-07,1,1890.8,-0.94,24.179,0.15,0.7835,6.8,93.678,-0.07,1157.26,-0.61
2020-10-06,1,1908.8,-0.59,24.142,-2.6,0.7336,-5.76,93.744,0.21,1164.37,0.63
2020-10-05,1,1920.1,0.66,24.786,3.15,0.7784,10.33,93.545,-0.39,1157.12,-0.78
2020-10-02,1,1907.6,-0.45,24.251,-0.92,0.7038,3.64,93.909,0.16,1166.26,0.29
2020-10-01,1,1916.3,1.1,24.477,3.17,0.6791,-0.96,93.762,-0.18,1162.83,-0.16
2020-09-30,1,1895.5,-0.4,23.724,-3.77,0.6857,5.3,93.927,0,1164.65,-0.35
2020-09-29,1,1903.2,1.11,24.654,3.56,0.6512,-0.99,93.927,-0.4,1168.73,0.16
2020-09-28,1,1882.3,0.86,23.807,3.15,0.6577,0,94.302,-0.4,1166.85,-0.64
2020-09-25,1,1866.3,-0.56,23.301,-0.41,0.6561,-1.71,94.682,0.31,1174.32,0.45
2020-09-24,1,1876.9,0.45,23.398,0.3,0.6675,-1.45,94.394,-0.05,1169.1,-0.13
2020-09-23,1,1868.4,-2.05,23.327,-5.79,0.6773,0.97,94.443,0.45,1170.65,0.61
2020-09-22,1,1907.6,-0.16,24.76,0.53,0.6708,0.25,94.018,0.36,1163.61,0
2020-09-21,1,1910.6,-2.62,24.63,-8.39,0.6691,-4,93.684,0.79,1163.61,-0.1
2020-09-18,1,1962.1,0.63,27.382,0.1,0.697,1.21,92.952,-0.02,1164.81,-0.38
2020-09-17,1,1949.9,-1.05,27.354,-1.38,0.6887,-1.4,92.969,-0.28,1169.2,-0.31
2020-09-16,1,1970.5,0.22,27.736,0.01,0.6985,2.65,93.231,0.16,1172.88,-0.58
2020-09-15,1,1966.2,0.13,27.732,0.38,0.6805,0.73,93.085,0.19,1179.76,-0.15
2020-09-14,1,1963.7,0.81,27.628,2.43,0.6756,0.73,92.912,-0.44,1181.51,-0.54
2020-09-11,1,1947.9,-0.83,27.126,-1.54,0.669,-1.92,93.32,-0.01,1187.89,-0.02
2020-09-10,1,1964.3,0.48,27.549,0.73,0.6821,-2.33,93.331,0.08,1188.11,0.28
2020-09-09,1,1954.9,0.6,27.348,0.27,0.6984,2.4,93.258,-0.2,1184.79,-0.45
2020-09-08,1,1943.2,0.31,27.273,0.77,0.682,-5.24,93.441,0.78,1190.1,0.24
2020-09-07,1,1937.1,-0.18,27.065,0.08,0.7197,-0.22,92.719,0,1187.27,0
2020-09-06,1,1940.65,0.33,27.043,0.18,0.7213,13.34,92.719,-0.02,1187.3,-0.35
2020-09-04,1,1934.3,-0.18,26.994,-0.61,0.7213,13.34,92.719,-0.02,1187.3,-0.35
2020-09-03,1,1937.8,-0.35,27.161,-2.02,0.6364,-1.74,92.733,-0.11,1191.48,0.2
2020-09-02,1,1944.7,-1.73,27.72,-4.1,0.6477,-3.63,92.834,0.54,1189.13,0.31
2020-09-01,1,1978.9,0.02,28.905,0.16,0.6721,-4.86,92.337,0.22,1185.45,-0.21
2020-08-31,1,1978.6,0.19,28.859,2.24,0.7064,-2.48,92.131,-0.27,1187.94,0.63
2020-08-28,1,1974.9,2.19,28.07,2.03,0.7244,-3.9,92.379,-0.66,1180.48,-0.59
2020-08-27,1,1932.6,-1.02,27.511,-1.4,0.7538,9.5,92.991,-0.01,1187.44,0.26
2020-08-26,1,1952.5,1.53,27.903,4.56,0.6884,0.01,92.996,-0.02,1184.39,-0.25
2020-08-25,1,1923.1,-0.83,26.687,-1.36,0.6883,5.21,93.019,-0.29,1187.35,-0.11
2020-08-24,1,1939.2,-0.4,27.054,1.48,0.6542,3.59,93.289,0.05,1188.66,-0.26
2020-08-21,1,1947,0.03,27.146,-1.65,0.6363,-2.48,93.24,0.5,1191.72,0.55
2020-08-20,1,1946.5,-1.21,27.602,-0.71,0.6525,-4.74,92.778,-0.11,1185.24,0.3
2020-08-19,1,1970.3,-2.13,27.798,-2.64,0.685,2.18,92.88,0.67,1181.74,-0.08
2020-08-18,1,2013.1,0.72,28.553,1.57,0.6704,-3.05,92.259,-0.63,1182.7,-0.04
2020-08-17,1,1998.7,2.51,28.113,7.19,0.6915,-2.96,92.847,-0.26,1183.19,-0.32
2020-08-14,1,1949.8,-1.05,26.539,-5.9,0.7094,-1.13,93.085,-0.25,1186.94,0.17
2020-08-13,1,1970.4,1.1,28.203,6.37,0.7175,6.6,93.317,-0.1,1184.92,0.14
2020-08-12,1,1949,0.14,26.514,-0.36,0.6731,4.65,93.408,-0.21,1183.23,-0.2
2020-08-11,1,1946.3,-4.58,26.61,-10.88,0.6432,10.8,93.6,0.03,1185.62,0
2020-08-10,1,2039.7,0.58,29.857,5.69,0.5805,2.62,93.569,0.17,1185.58,-0.3
2020-08-07,1,2028,-2,28.23,-3.17,0.5657,5.17,93.412,0.69,1189.18,0.44
2020-08-06,1,2069.4,0.98,29.155,5.63,0.5379,-2.09,92.768,-0.09,1184,-0.19
2020-08-05,1,2049.3,1.4,27.601,3.37,0.5494,7.35,92.85,-0.57,1186.24,-0.59
2020-08-04,1,2021,1.75,26.7,6.53,0.5118,-7.67,93.378,-0.14,1193.32,0.05
2020-08-03,1,1986.3,0.02,25.063,1.26,0.5543,3.98,93.507,0.2,1192.7,-0.12
2020-07-31,1,1985.9,0.97,24.899,3.44,0.5331,-2.11,93.321,0.34,1194.09,0.37
2020-07-30,1,1966.8,-0.5,24.071,-3.82,0.5446,-5.66,93.009,-0.45,1189.73,-0.03
2020-07-29,1,1976.7,0.65,25.026,0.26,0.5773,-0.29,93.432,-0.23,1190.04,-0.79
2020-07-28,1,1963.9,0.43,24.96,-0.75,0.579,-5.87,93.647,0.03,1199.55,0.29
2020-07-27,1,1955.4,1.57,25.149,7.59,0.6151,3.59,93.615,-0.81,1196.07,-0.46
2020-07-24,1,1925.2,0.41,23.463,-0.52,0.5872,1.7,94.38,-0.28,1201.59,-0.03
2020-07-23,1,1917.4,1.31,23.585,-0.52,0.5774,-3.83,94.649,-0.3,1201.95,0.38
2020-07-22,1,1892.6,1.23,23.708,7.46,0.6004,-0.81,94.93,-0.14,1197.38,0.28
2020-07-21,1,1869.6,1.6,22.063,6.64,0.6053,-1.34,95.06,-0.74,1194.04,-0.58
2020-07-20,1,1840.1,0.35,20.689,4.88,0.6135,-1.57,95.772,-0.12,1201.02,-0.24
2020-07-17,1,1833.7,0.39,20.258,1.31,0.6233,0.79,95.889,-0.45,1203.94,-0.11
2020-07-16,1,1826.5,-0.82,19.996,-0.92,0.6184,-2.34,96.319,0.29,1205.23,0.35
2020-07-15,1,1841.6,0.01,20.181,1.24,0.6332,1.31,96.039,-0.17,1201,-0.33
2020-07-14,1,1841.5,-0.12,19.934,-1.4,0.625,1.07,96.207,-0.21,1205.01,0.09
2020-07-13,1,1843.7,0.68,20.218,5.48,0.6184,-3.83,96.407,-0.21,1203.87,0.27
2020-07-10,1,1831.3,-0.12,19.512,0.46,0.643,4.81,96.614,-0.06,1200.62,0.3
2020-07-09,1,1833.5,-0.92,19.423,-0.97,0.6135,-7.88,96.673,0.32,1197.08,0.36
2020-07-08,1,1850.6,0.89,19.614,2.32,0.666,4.11,96.368,-0.49,1192.85,-0.33
2020-07-07,1,1834.3,1,19.169,0.66,0.6397,-5.58,96.839,0.16,1196.84,0.4
2020-07-06,1,1816.1,1.59,19.043,3.88,0.6775,0.24,96.682,-0.64,1192.05,-0.62
2020-07-03,1,1787.6,-1.35,18.315,-2.41,0.6693,-0.96,97.301,0,1199.43,0.02
2020-07-02,1,1812,0.56,18.768,0.65,0.6693,-0.96,97.301,0.15,1199.25,-0.2
2020-07-01,1,1801.9,-1.02,18.646,-2.06,0.6758,2.75,97.155,-0.2,1201.67,0.19
2020-06-30,1,1820.4,1.13,19.038,3.11,0.6577,4.96,97.349,-0.16,1199.44,-0.02
2020-06-29,1,1800.1,0.09,18.464,2.55,0.6266,-0.78,97.501,0.1,1199.66,-0.35
2020-06-26,1,1798.5,0.56,18.569,0.58,0.6397,-6.24,97.404,0.02,1203.92,0.13
2020-06-25,1,1788.4,-0.23,18.462,1.18,0.6823,0.49,97.388,0.27,1202.36,-0.32
2020-06-24,1,1792.6,-0.25,18.247,-2.31,0.679,-5.05,97.129,0.54,1206.2,-0.19
2020-06-23,1,1797.1,0.86,18.679,0.85,0.7151,0.69,96.608,-0.39,1208.46,-0.09
2020-06-22,1,1781.7,0.74,18.522,3.07,0.7102,2.38,96.985,-0.61,1209.53,-0.2
2020-06-19,1,1768.6,1.18,18.48,1.98,0.6937,-1.85,97.577,0.18,1211.98,-0.05
2020-06-18,1,1747.9,-0.31,18.122,-1.45,0.7068,-3.59,97.4,0.26,1212.59,-0.24
2020-06-17,1,1753.4,-0.06,18.388,0.82,0.7331,-1.11,97.144,0.22,1215.53,0.27
2020-06-16,1,1754.4,0.54,18.238,1.38,0.7413,2.97,96.933,-0.05,1212.29,0.3
2020-06-15,1,1744.9,-0.59,17.989,2.3,0.7199,1.39,96.978,-0.34,1208.65,0.41
2020-06-12,1,1755.2,-0.14,18.086,-2.3,0.71,6.65,97.305,0.59,1203.77,-0.2
2020-06-11,1,1757.6,1.07,18.512,0.45,0.6657,-9.58,96.739,0.82,1206.2,1.29
2020-06-10,1,1739,-0.07,18.429,-0.23,0.7362,-10.62,95.95,-0.39,1190.79,-0.64
2020-06-09,1,1740.3,0.96,18.471,-0.76,0.8237,-6.24,96.321,-0.3,1198.52,0.21
2020-06-08,1,1723.8,1.29,18.613,5.86,0.8785,-2.41,96.608,-0.32,1195.96,-0.51
2020-06-05,1,1701.9,-2.55,18.16,-2.55,0.8935,8.29,96.922,0.27,1202.1,-1.19
2020-06-04,1,1746.4,1.33,18.635,0.66,0.8251,10.63,96.657,-0.62,1216.54,0.05
2020-06-03,1,1723.5,-1.5,18.513,-1.53,0.7458,8.59,97.259,-0.41,1215.95,-0.34
2020-06-02,1,1749.7,-0.79,18.8,-2.47,0.6868,2.92,97.659,-0.16,1220.12,-0.24
2020-06-01,1,1763.7,-0.11,19.277,3.18,0.6673,4.07,97.82,-0.53,1223.05,-0.69
2020-05-29,1,1765.7,1.32,18.785,2.88,0.6526,-6.32,98.341,-0.03,1231.59,-0.52
2020-05-28,1,1742.7,0.13,18.259,1.2,0.6966,0.24,98.372,-0.69,1238.03,-0.02
2020-05-27,1,1740.5,0,18.043,0.93,0.6949,0,99.058,0.15,1238.26,0.59
2020-05-26,1,1740.5,0.78,17.877,1.33,0.6949,5.43,98.906,-0.98,1230.99,-0.8
2020-05-25,1,1727,-0.21,17.642,-0.02,0.6591,0.26,99.888,0,1240.95,0.02
2020-05-24,1,1730.65,-1.98,17.645,-1.77,0.6574,-3.34,99.888,0.49,1240.66,0.6
2020-05-22,1,1765.6,0.87,17.963,2.09,0.6574,-3.34,99.888,0.49,1240.66,0.6
2020-05-21,1,1750.4,-1.76,17.596,-3.53,0.6801,-1.42,99.403,0.27,1233.27,0.48
2020-05-20,1,1781.7,0.47,18.239,0.71,0.6899,-0.23,99.135,-0.23,1227.4,0.18
2020-05-19,1,1773.4,0.73,18.111,2.31,0.6915,-4.71,99.366,-0.32,1225.18,-0.01
2020-05-18,1,1760.6,-1.02,17.702,2.09,0.7257,12.9,99.681,-0.75,1225.27,-0.64
2020-05-15,1,1778.7,0.95,17.295,5.45,0.6444,4.46,100.434,-0.07,1233.19,0.46
2020-05-14,1,1762,1.42,16.401,2.8,0.6169,-5.69,100.507,0.22,1227.53,0
2020-05-13,1,1737.3,0.54,15.954,-0.41,0.6541,-1.89,100.291,0.34,1227.51,0.05
2020-05-12,1,1728,0.41,16.02,0.37,0.6667,-5.66,99.956,-0.31,1226.84,0.28
2020-05-11,1,1720.9,-0.82,15.961,0.67,0.7067,2.04,100.27,0.5,1223.41,0.3
