날짜,종가,오픈,고가,저가,거래량,변동 %
1995년 12월 13일,5.075,5.115,5.12,5.05,0.08K,-1.05%
1995년 12월 12일,5.129,5.195,5.2,5.1,0.06K,-1.04%
1995년 12월 11일,5.183,5.22,5.22,5.175,0.12K,-0.12%
1995년 12월 08일,5.189,5.195,5.2,5.18,0.17K,-0.19%
1995년 12월 07일,5.199,5.22,5.22,5.155,0.19K,-0.50%
1995년 12월 06일,5.225,5.21,5.24,5.205,0.10K,0.42%
1995년 12월 05일,5.203,5.145,5.21,5.145,1.17K,0.79%
1995년 12월 04일,5.162,5.16,5.18,5.145,1.55K,-0.02%
1995년 12월 01일,5.163,5.18,5.18,5.15,1.20K,-0.44%
1995년 11월 30일,5.186,5.12,5.19,5.09,3.80K,1.11%
1995년 11월 29일,5.129,5.18,5.185,5.12,19.56K,-1.33%
1995년 11월 28일,5.198,5.24,5.24,5.24,-,-0.08%
1995년 11월 27일,5.202,5.202,5.202,5.202,-,0.93%
1995년 11월 22일,5.154,5.15,5.15,5.15,0.01K,-2.24%
1995년 11월 21일,5.272,5.272,5.272,5.272,-,-1.09%
1995년 11월 20일,5.33,5.33,5.33,5.33,0.01K,-0.15%
1995년 11월 17일,5.338,5.338,5.338,5.338,0.06K,0.72%
1995년 11월 16일,5.3,5.3,5.3,5.3,0.03K,-0.60%
1995년 11월 15일,5.332,5.332,5.332,5.332,0.03K,0.49%
1995년 11월 14일,5.306,5.306,5.306,5.306,-,0.15%
1995년 11월 13일,5.298,5.298,5.298,5.298,-,-2.32%
1995년 11월 10일,5.424,5.425,5.425,5.4,0.02K,0.99%
1995년 11월 09일,5.371,5.371,5.371,5.371,0.03K,0.62%
1995년 11월 08일,5.338,5.338,5.338,5.338,-,-0.19%
1995년 11월 07일,5.348,5.275,5.275,5.275,0.00K,1.77%
1995년 11월 06일,5.255,5.27,5.27,5.27,0.00K,-0.34%
1995년 11월 03일,5.273,5.273,5.273,5.273,-,-0.83%
1995년 11월 02일,5.317,5.317,5.317,5.317,0.00K,0.45%
1995년 11월 01일,5.293,5.3,5.3,5.3,0.00K,-0.82%
1995년 10월 31일,5.337,5.315,5.315,5.315,-,0.36%
1995년 10월 30일,5.318,5.318,5.318,5.318,0.00K,0.51%
1995년 10월 27일,5.291,5.291,5.291,5.291,-,-2.11%
1995년 10월 26일,5.405,5.405,5.405,5.405,-,-0.26%
1995년 10월 25일,5.419,5.419,5.419,5.419,0.02K,1.56%
1995년 10월 24일,5.336,5.3,5.3,5.3,0.00K,0.09%
1995년 10월 23일,5.331,5.331,5.331,5.331,-,-0.17%
1995년 10월 20일,5.34,5.34,5.34,5.34,0.04K,0.81%
1995년 10월 19일,5.297,5.265,5.3,5.265,0.16K,-0.56%
1995년 10월 18일,5.327,5.327,5.327,5.327,0.20K,0.15%
1995년 10월 17일,5.319,5.319,5.319,5.319,0.03K,-0.06%
1995년 10월 16일,5.322,5.322,5.322,5.322,0.06K,-0.65%
1995년 10월 13일,5.357,5.357,5.357,5.357,0.07K,0.02%
1995년 10월 12일,5.356,5.36,5.36,5.36,-,-0.85%
1995년 10월 11일,5.402,5.39,5.39,5.39,0.00K,-0.09%
1995년 10월 10일,5.407,5.407,5.407,5.407,0.02K,-0.02%
1995년 10월 09일,5.408,5.408,5.408,5.408,-,1.48%
1995년 10월 06일,5.329,5.329,5.329,5.329,0.01K,1.25%
1995년 10월 05일,5.263,5.263,5.263,5.263,0.01K,-0.62%
1995년 10월 04일,5.296,5.296,5.296,5.296,0.00K,0.72%
1995년 10월 03일,5.258,5.32,5.32,5.32,0.01K,-0.04%
1995년 10월 02일,5.26,5.3,5.3,5.3,0.00K,-3.22%
1995년 09월 29일,5.435,5.435,5.435,5.435,0.60K,-0.57%
1995년 09월 28일,5.466,5.45,5.45,5.45,0.09K,0.81%
1995년 09월 27일,5.422,5.43,5.44,5.42,0.03K,-0.37%
1995년 09월 26일,5.442,5.44,5.46,5.44,0.07K,0.72%
1995년 09월 25일,5.403,5.44,5.44,5.415,0.15K,0.24%
1995년 09월 22일,5.39,5.415,5.435,5.395,0.06K,-1.28%
1995년 09월 21일,5.46,5.315,5.39,5.315,0.04K,1.39%
1995년 09월 20일,5.385,5.4,5.41,5.39,0.02K,-1.41%
1995년 09월 19일,5.462,5.46,5.46,5.42,0.07K,-0.78%
1995년 09월 18일,5.505,5.435,5.515,5.41,0.06K,1.31%
1995년 09월 15일,5.434,5.43,5.455,5.41,0.06K,-0.71%
1995년 09월 14일,5.473,5.41,5.475,5.41,0.12K,1.75%
1995년 09월 13일,5.379,5.455,5.455,5.37,0.40K,-2.00%
1995년 09월 12일,5.489,5.475,5.495,5.46,0.02K,0.48%
1995년 09월 11일,5.463,5.46,5.46,5.425,0.29K,2.38%
1995년 09월 08일,5.336,5.41,5.425,5.33,1.13K,-0.85%
1995년 09월 07일,5.382,5.355,5.4,5.3,0.62K,1.84%
1995년 09월 06일,5.285,5.17,5.335,5.17,0.24K,1.93%
1995년 09월 05일,5.185,5.23,5.23,5.13,0.73K,-1.63%
1995년 09월 01일,5.271,5.28,5.32,5.25,0.49K,-0.75%
1995년 08월 31일,5.311,5.235,5.33,5.21,4.04K,1.43%
1995년 08월 30일,5.236,5.5,5.5,5.21,13.36K,-5.13%
1995년 08월 29일,5.519,5.519,5.519,5.519,-,-1.66%
1995년 08월 28일,5.612,5.612,5.612,5.612,-,0.36%
1995년 08월 25일,5.592,5.592,5.592,5.592,0.00K,-0.25%
1995년 08월 24일,5.606,5.606,5.606,5.606,-,-0.51%
1995년 08월 23일,5.635,5.635,5.635,5.635,0.00K,-0.32%
1995년 08월 22일,5.653,5.71,5.71,5.71,0.00K,-2.35%
1995년 08월 21일,5.789,5.789,5.789,5.789,-,1.67%
1995년 08월 18일,5.694,5.694,5.694,5.694,0.01K,2.12%
1995년 08월 17일,5.576,5.576,5.576,5.576,0.00K,3.91%
1995년 08월 16일,5.366,5.366,5.366,5.366,-,0.49%
1995년 08월 15일,5.34,5.4,5.4,5.4,0.00K,-0.07%
1995년 08월 14일,5.344,5.344,5.344,5.344,-,2.63%
1995년 08월 11일,5.207,5.207,5.207,5.207,-,-1.10%
1995년 08월 10일,5.265,5.265,5.265,5.265,4.09K,0.55%
